Frekuensi,Z-M1,Fase,Kategori
1000,3785.425,-7.478,diabetes
1500,3753.991,-6.978,diabetes
2000,3745.559,-7.508,diabetes
2500,3737.147,-7.554,diabetes
3000,3732.248,-8.034,diabetes
3500,3728.054,-7.696,diabetes
4000,3723.167,-8.067,diabetes
4500,3723.516,-8.015,diabetes
5000,3725.959,-7.831,diabetes
5500,3728.753,-8.075,diabetes
6000,3725.61,-7.758,diabetes
6500,3724.563,-7.538,diabetes
7000,3727.355,-7.784,diabetes
7500,3730.15,-7.856,diabetes
8000,3727.705,-7.626,diabetes
8500,3724.214,-7.84,diabetes
9000,3733.997,-7.071,diabetes
9500,3732.947,-7.136,diabetes
10000,3730.849,-7.379,diabetes
15000,3719.68,-5.65,diabetes
20000,3718.983,-6.455,diabetes
25000,3714.109,-4.731,diabetes
30000,3710.63,-2.918,diabetes
35000,3699.869,-0.99,diabetes
40000,3702.99,1,diabetes
45000,3694.672,3.072,diabetes
50000,3681.887,5.235,diabetes
55000,3676.716,7.42,diabetes
60000,3675.338,9.603,diabetes
65000,3663.992,11.785,diabetes
70000,3661.59,14.01,diabetes
75000,3649.26,16.189,diabetes
80000,3632.205,18.398,diabetes
85000,3630.844,20.549,diabetes
90000,3611.167,22.775,diabetes
95000,3612.52,24.924,diabetes
100000,3599.007,27.094,diabetes
100,4690.441,13.9,diabetes
150,4388.988,7.862,diabetes
200,4233.888,3.702,diabetes
250,4141.298,0.895,diabetes
300,4077.005,-1.066,diabetes
350,4040.499,-2.544,diabetes
400,4011.079,-3.575,diabetes
450,3977.025,-4.484,diabetes
500,3971.812,-5.055,diabetes
550,3955.472,-5.534,diabetes
600,3938.461,-6.205,diabetes
650,3928.879,-6.64,diabetes
700,3919.687,-6.477,diabetes
750,3906.123,-6.777,diabetes
800,3908.319,-6.859,diabetes
850,3905.757,-7.116,diabetes
900,3896.984,-7.194,diabetes
950,3893.334,-7.343,diabetes
1000,3892.605,-7.418,diabetes
1500,3867.884,-7.139,diabetes
2000,3845.12,-7.998,diabetes
2500,3836.124,-8.22,diabetes
3000,3833.609,-8.184,diabetes
3500,3830.378,-7.918,diabetes
4000,3822.849,-8.041,diabetes
4500,3822.491,-8.041,diabetes
5000,3821.417,-8.181,diabetes
5500,3820.343,-8.28,diabetes
6000,3820.701,-8.081,diabetes
6500,3824.282,-7.974,diabetes
7000,3824.282,-7.795,diabetes
7500,3818.911,-7.676,diabetes
8000,3821.775,-7.804,diabetes
8500,3819.269,-7.677,diabetes
9000,3818.553,-7.666,diabetes
9500,3815.335,-7.504,diabetes
10000,3818.553,-7.344,diabetes
15000,3811.405,-5.075,diabetes
20000,3810.333,-6.388,diabetes
25000,3804.269,-4.602,diabetes
30000,3802.844,-2.902,diabetes
35000,3790.039,-0.995,diabetes
40000,3775.154,0.997,diabetes
45000,3767.38,3.076,diabetes
50000,3763.5,5.229,diabetes
55000,3760.68,7.412,diabetes
60000,3753.991,9.61,diabetes
65000,3740.65,11.808,diabetes
70000,3735.396,14.017,diabetes
75000,3730.5,16.18,diabetes
80000,3723.865,18.411,diabetes
85000,3707.85,20.562,diabetes
90000,3694.326,22.783,diabetes
95000,3682.232,24.95,diabetes
100000,3680.852,27.085,diabetes
100,4588.296,13.821,diabetes
150,4327.737,7.943,diabetes
200,4179.106,3.666,diabetes
250,4101.141,0.882,diabetes
300,4040.499,-1.066,diabetes
350,3990.088,-2.471,diabetes
400,3971.812,-3.474,diabetes
450,3961.777,-4.449,diabetes
500,3943.261,-5.086,diabetes
550,3935.142,-5.43,diabetes
600,3924.097,-5.653,diabetes
650,3913.082,-6.152,diabetes
700,3908.685,-6.746,diabetes
750,3896.984,-6.7,diabetes
800,3891.876,-6.836,diabetes
850,3879.861,-7.048,diabetes
900,3879.498,-7.144,diabetes
950,3879.498,-7.375,diabetes
1000,3877.317,-7.469,diabetes
1500,3843.679,-7.992,diabetes
2000,3826.432,-8.443,diabetes
2500,3820.701,-8.375,diabetes
3000,3806.052,-8.401,diabetes
3500,3811.405,-8.377,diabetes
4000,3805.339,-8.504,diabetes
4500,3799.639,-8.199,diabetes
5000,3794.302,-8.47,diabetes
