Frekuensi,Z-M1,Fase,Kategori
5000,4506.918,1.286,Sehat
5500,4499.745,1.189,Sehat
6000,4497.216,1.389,Sehat
6500,4495.531,1.179,Sehat
7000,4492.584,1.269,Sehat
7500,4486.695,1.231,Sehat
8000,4485.434,1.22,Sehat
8500,4482.913,1.414,Sehat
9000,4476.198,1.471,Sehat
9500,4474.94,1.42,Sehat
10000,4469.074,1.522,Sehat
15000,4454.443,2.332,Sehat
20000,4434.871,3.169,Sehat
25000,4414.971,4.399,Sehat
30000,4403.816,5.935,Sehat
35000,4392.69,7.612,Sehat
40000,4373.799,9.45,Sehat
45000,4365.611,11.483,Sehat
50000,4354.173,13.618,Sehat
55000,4350.911,15.883,Sehat
60000,4333.417,18.045,Sehat
65000,4325.305,20.31,Sehat
70000,4318.421,22.548,Sehat
75000,4311.144,24.818,Sehat
80000,4299.044,27.022,Sehat
85000,4280.154,29.26,Sehat
90000,4260.15,31.535,Sehat
95000,4243.419,33.776,Sehat
100000,4230.716,35.94,Sehat
100,6401.24,25.38,Sehat
150,5941.765,20.048,Sehat
200,5637.523,16.185,Sehat
250,5426.087,13.365,Sehat
300,5263.353,11.196,Sehat
350,5182.611,9.658,Sehat
400,5075.452,8.419,Sehat
450,5013.538,7.514,Sehat
500,4966.319,6.713,Sehat
550,4933.392,6.056,Sehat
600,4900.224,5.504,Sehat
650,4871.841,5.131,Sehat
700,4858.167,4.707,Sehat
750,4837.727,4.362,Sehat
800,4816.471,4.117,Sehat
850,4795.308,3.867,Sehat
900,4772.896,3.621,Sehat
950,4754.151,3.368,Sehat
1000,4732.376,3.271,Sehat
1500,4665.021,2.353,Sehat
2000,4618.487,1.912,Sehat
2500,4577.133,1.623,Sehat
3000,4548.064,1.437,Sehat
3500,4539.55,1.413,Sehat
4000,4524.264,1.332,Sehat
4500,4509.875,1.342,Sehat
5000,4508.185,1.293,Sehat
5500,4504.807,1.189,Sehat
6000,4499.745,1.196,Sehat
6500,4495.531,1.179,Sehat
7000,4490.48,1.307,Sehat
7500,4488.377,1.313,Sehat
8000,4489.638,1.329,Sehat
8500,4487.536,1.289,Sehat
