,Frekuensi,Z-M1,Fase,Kategori
165,4000,4548.49,1.518,Sehat
166,5000,4500.167,1.475,Sehat
167,150,5955.699,20.207,Sehat
168,10000,4081.591,-2.003,prediabet
169,3000,3722.076,-9.374,diabetes
170,3000,3238.662,-10.561,diabetes
171,8500,3597.659,-10.403,diabetes
172,4000,4516.217,1.246,Sehat
173,650,3928.879,-6.64,diabetes
174,500,4963.528,6.673,Sehat
175,500,3592.606,-7.299,diabetes
176,60000,3862.09,14.018,prediabet
177,550,3675.982,-6.77,diabetes
178,5000,4090.013,-2.625,prediabet
179,65000,3463.053,11.797,diabetes
180,5000,4132.383,-2.742,prediabet
181,150,4534.874,12.396,prediabet
182,6000,3792.17,-8.315,diabetes
183,55000,3876.954,11.837,prediabet
184,6500,4487.115,1.534,Sehat
185,2000,3574.767,-9.433,diabetes
186,900,4808.805,3.581,Sehat
187,600,3984.858,-5.851,diabetes
188,45000,4368.884,11.474,Sehat
189,80000,4290.995,26.999,Sehat
190,7000,4493.426,1.612,Sehat
191,200,5640.164,15.878,Sehat
192,8500,4500.167,1.546,Sehat
193,8500,3971.44,-3.271,prediabet
194,5000,4527.232,1.468,Sehat
195,65000,2944.312,11.799,diabetes
196,450,4190.869,1.223,prediabet
197,700,3400.357,-8.727,diabetes
198,15000,3786.844,-7.638,diabetes
199,900,4173.628,-1.293,prediabet
200,2000,3273.746,-10.497,diabetes
201,45000,4107.294,8.99,prediabet
202,9000,3372.752,-10.249,diabetes
203,200,3866.434,1.159,diabetes
204,1000,4145.957,-1.507,prediabet
205,50000,3536.126,4.144,diabetes
206,6000,3725.61,-7.758,diabetes
207,20000,3657.133,-8.051,diabetes
208,9500,3621.671,-10.315,diabetes
209,1000,3821.012,-8.5,diabetes
210,5500,3730.455,-9.272,diabetes
211,10000,3258.446,-10.309,diabetes
212,90000,3433.974,22.695,diabetes
213,40000,3615.185,0.073,diabetes
214,650,4225.17,-0.41,prediabet
215,900,3811.715,-8.214,diabetes
216,100,6462.707,25.62,Sehat
217,55000,3901.368,12.015,prediabet
218,2000,4282.962,-2.388,prediabet
219,550,4266.941,0.491,prediabet
220,2500,3605.714,-9.444,diabetes
221,40000,4424.91,9.66,Sehat
222,450,3929.247,0.24,prediabet
223,450,4134.707,0.223,prediabet
224,8000,3198.256,-10.362,diabetes
225,3000,3401.313,-10.452,diabetes
226,200,4123.052,1.948,diabetes
227,700,3810.333,-6.453,diabetes
228,60000,3217.19,7.503,diabetes
229,950,4275.345,-1.453,prediabet
230,5000,4008.073,-3.348,prediabet
231,250,3996.823,0.878,diabetes
232,250,3902.783,-0.25,diabetes
233,1000,4727.501,3.313,Sehat
234,750,4098.836,-1.393,prediabet
235,8500,3704.378,-8.153,diabetes
236,55000,3526.531,6.44,diabetes
237,550,4201.484,0.379,prediabet
238,55000,3557.77,5.308,diabetes
239,650,4279.753,-0.345,prediabet
240,60000,4077.769,15.579,prediabet
241,4500,4078.151,-2.588,prediabet
242,800,4252.972,-1.203,prediabet
243,5000,3688.101,-10.478,diabetes
244,25000,4459.872,4.471,Sehat
245,15000,3699.131,-8.048,diabetes
246,100,4481.179,13.142,diabetes
247,500,4204.635,0.749,prediabet
248,75000,3974.046,22.055,prediabet
249,75000,4008.824,22.03,prediabet
250,250,5448.502,13.166,Sehat
251,30000,4459.036,5.98,Sehat
252,1000,3662.575,-8.553,diabetes
253,5000,3218.697,-10.924,diabetes
254,4000,4548.49,1.47,Sehat
255,1000,3733.647,-9.753,diabetes
256,90000,4308.318,31.736,Sehat
257,7000,3977.025,-2.519,prediabet
258,90000,2961.465,20.435,diabetes
259,750,4270.941,-0.8,prediabet
260,9000,3626.764,-10.344,diabetes
261,6000,3670.52,-10.439,diabetes
262,600,4908.955,5.436,Sehat
263,2000,3782.898,-9.272,diabetes
264,70000,4335.448,22.709,Sehat
265,900,3545.125,-9.519,diabetes
266,95000,3950.657,30.887,prediabet
267,45000,3857.027,7.582,prediabet
268,700,4859.988,4.701,Sehat
269,9000,3581.473,-9.31,diabetes
270,25000,3672.884,-5.582,diabetes
271,65000,3508.776,11.706,diabetes
272,5000,4539.55,1.426,Sehat
