,Frekuensi,Z-M1,Fase,Kategori
166,2500,3840.08,-8.492,diabetes
167,600,3571.128,-5.211,diabetes
168,100,4856.347,17.827,prediabet
169,300,4287.379,3.688,prediabet
170,450,3559.061,-5.577,diabetes
171,9500,4474.94,1.42,Sehat
172,20000,3654.691,-6.89,diabetes
173,20000,3927.775,-1.315,prediabet
174,500,3460.458,-7.187,diabetes
175,600,4078.151,-1.191,prediabet
176,25000,3900.271,0.062,prediabet
177,350,3911.203,-3.642,diabetes
178,400,3822.849,-3.663,diabetes
179,3500,4523.84,1.419,Sehat
180,100000,3305.143,26.154,diabetes
181,4000,3822.849,-8.041,diabetes
182,900,3755.354,-8.293,diabetes
183,150,5945.663,19.683,Sehat
184,90000,3874.412,28.806,prediabet
185,70000,3978.516,19.851,prediabet
186,6500,4101.525,-2.443,prediabet
187,700,4868.647,4.629,Sehat
188,600,4126.193,-0.124,prediabet
189,40000,3361.355,0.16,diabetes
190,900,4105.37,-1.771,prediabet
191,9500,3845.841,-8.596,diabetes
192,2500,3444.93,-10.468,diabetes
193,150,4189.249,6.616,diabetes
194,85000,4286.174,29.315,Sehat
195,6500,3950.287,-3.827,prediabet
196,100000,3318.174,25.935,diabetes
197,300,5281.135,10.896,Sehat
198,2500,3603.687,-9.536,diabetes
199,35000,4044.665,4.881,prediabet
200,350,3986.725,2.385,prediabet
201,500,3838.236,-5.399,diabetes
202,4000,4557.876,1.61,Sehat
203,7000,4513.679,1.581,Sehat
204,10000,3091.311,-8.329,diabetes
205,10000,2992.389,-9.039,diabetes
206,750,3939.569,-6.758,diabetes
207,550,3828.896,-6.544,diabetes
208,90000,4056.43,28.604,prediabet
209,500,4119.627,-0.373,prediabet
210,9000,3995.326,-2.919,prediabet
211,85000,3661.59,24.722,prediabet
212,70000,4080.062,19.848,prediabet
213,8500,3990.462,-2.897,prediabet
214,200,4545.934,9.043,prediabet
215,45000,4425.739,11.713,Sehat
216,60000,3790.394,14.082,prediabet
217,50000,3844.04,9.764,prediabet
218,950,3778.339,-7.318,diabetes
219,850,4119.627,-1.215,prediabet
220,600,4038.228,-0.952,prediabet
221,95000,3545.125,28.741,prediabet
222,700,3415.044,-6.458,diabetes
223,3500,3466.623,-8.6,diabetes
224,25000,3834.687,0.063,prediabet
225,15000,4068.229,-1.235,prediabet
226,750,3556.77,-6.339,diabetes
227,150,4626.716,12.523,prediabet
228,3500,3991.584,-3.866,prediabet
229,550,3728.403,-7.925,diabetes
230,500,3735.701,-5.275,diabetes
231,800,3964.377,-2.24,prediabet
232,4500,3548.073,-9.418,diabetes
233,150,4719.977,13.242,prediabet
234,900,3949.917,-7.123,diabetes
235,55000,4374.209,15.997,Sehat
236,100,6404.839,25.816,Sehat
237,40000,3556.727,0.038,diabetes
238,100,5094.509,20.18,prediabet
239,4500,3698.785,-9.408,diabetes
240,85000,3405.139,18.503,diabetes
241,50000,3643.068,4.173,diabetes
242,25000,4470.749,4.471,Sehat
243,25000,4469.493,4.468,Sehat
244,500,3723.122,-5.331,diabetes
245,80000,3423.011,17.502,diabetes
246,200,3940.676,0.782,diabetes
247,55000,4370.522,15.94,Sehat
248,8000,3811.405,-8.327,diabetes
249,300,3830.378,-3.695,diabetes
250,900,3790.394,-7.108,diabetes
251,100,4622.384,13.705,diabetes
252,100000,4251.776,36.232,Sehat
253,400,4240.24,2.1,prediabet
254,5500,4529.778,1.457,Sehat
255,3000,3710.933,-9.563,diabetes
256,15000,4462.38,2.344,Sehat
257,650,3708.892,-8.627,diabetes
258,850,4219.236,-1.037,prediabet
259,900,3831.455,-3.455,prediabet
260,25000,3794.302,-4.498,diabetes
261,3500,3705.027,-9.465,diabetes
262,7000,3874.775,-4.259,prediabet
263,45000,3576.442,1.983,diabetes
264,6500,3923.361,-3.606,prediabet
265,600,3791.815,-8.337,diabetes
266,30000,3426.903,-2.828,diabetes
267,600,4919.084,5.481,Sehat
268,7000,3989.341,-3.477,prediabet
269,4500,4149.843,-2.712,prediabet
270,800,3645.799,-7.883,diabetes
271,750,4358.255,-0.838,prediabet
272,4000,3980.38,-3.251,prediabet
273,80000,3855.943,24.405,prediabet
274,950,4790.368,3.447,Sehat
275,30000,3916.75,1.813,prediabet
276,750,4827.766,4.422,Sehat
277,40000,3937.723,7.017,prediabet
278,2500,4620.652,1.68,Sehat
279,70000,3094.209,11.802,diabetes
280,60000,4042.392,15.592,prediabet
281,50000,3453.656,5.238,diabetes
282,550,3432.687,-7.709,diabetes
283,900,3896.984,-7.194,diabetes
284,5500,3702.99,-8.29,diabetes
285,25000,3695.711,0.055,prediabet
286,2500,4151.01,-2.425,prediabet
287,4000,4552.754,1.479,Sehat
288,600,4292.202,0.046,prediabet
289,1000,3906.123,-3.249,prediabet
290,800,4046.56,-1.704,prediabet
291,400,4016.343,-3.396,diabetes
292,35000,4438.612,7.68,Sehat
293,60000,3244.433,7.521,diabetes
294,30000,3746.261,-2.84,diabetes
295,700,3969.952,-6.517,diabetes
296,85000,3194.324,19.73,diabetes
297,7500,3853.054,-3.896,prediabet
298,70000,3472.149,13.992,diabetes
299,25000,3633.226,-6.801,diabetes
300,80000,3484.533,16.383,diabetes
301,90000,3699.869,27.065,prediabet
302,90000,4298.238,31.726,Sehat
303,700,3937.355,-6.586,diabetes
304,6500,3192.867,-10.769,diabetes
305,7000,3734.696,-4.864,prediabet
306,4000,4008.073,-2.673,prediabet
307,5000,3465.974,-8.737,diabetes
308,10000,3641.746,-10.186,diabetes
309,3500,4072.805,-2.391,prediabet
310,9000,3465.325,-8.386,diabetes
311,3000,4128.127,-2.551,prediabet
312,850,3750.827,-7.06,diabetes
313,5000,4507.763,1.358,Sehat
314,250,3830.332,-0.75,diabetes
315,3500,3878.407,-9.004,diabetes
316,50000,3897.349,10.228,prediabet
317,8000,3667.427,-8.534,diabetes
318,150,4482.073,13.01,prediabet
319,30000,3645.16,-2.82,diabetes
320,20000,3975.535,-1.456,prediabet
321,400,4059.852,-3.526,diabetes
322,1500,3267.005,-8.926,diabetes
323,700,4116.926,-1.83,prediabet
324,7500,3835.765,-3.863,prediabet
325,3500,3756.806,-5.396,prediabet
326,45000,3270.374,0.905,diabetes
327,300,5280.146,10.905,Sehat
328,700,3996.074,-1.721,prediabet
329,650,3561.772,-8.597,diabetes
330,400,3717.545,-4.8,diabetes
331,9500,3879.861,-3.911,prediabet
332,100000,3807.122,33.232,prediabet
333,650,4201.878,-0.232,prediabet
334,95000,3349.095,24.055,diabetes
335,400,3929.936,-4.8,diabetes
336,95000,3740.299,29.981,prediabet
337,1000,3664.291,-8.456,diabetes
338,650,3780.817,-6.76,diabetes
339,1000,3616.202,-8.517,diabetes
340,950,4101.525,-1.525,prediabet
341,4000,3370.857,-10.782,diabetes
342,950,3678.439,-9.539,diabetes
343,30000,3776.923,-2.864,diabetes
344,9000,3343.179,-10.294,diabetes
345,70000,3498.231,13.043,diabetes
346,9500,3613.492,-9.38,diabetes
347,95000,3269.455,24.889,diabetes
348,1500,3704.031,-6.83,diabetes
349,30000,3607.447,-5.02,diabetes
350,2000,3293.436,-10.612,diabetes
351,3000,4548.064,1.437,Sehat
352,4500,3395.9,-10.414,diabetes
353,1500,3369.594,-10.324,diabetes
354,70000,3813.191,19.001,prediabet
355,1000,3819.985,-3.806,prediabet
356,75000,3798.571,21.247,prediabet
357,3000,3704.725,-10.303,diabetes
358,6500,3857.75,-8.431,diabetes
359,95000,3252.306,24.123,diabetes
360,300,3826.386,-2.504,diabetes
361,30000,3949.547,3.08,prediabet
362,5500,3684.647,-10.465,diabetes
363,750,3953.99,-2.209,prediabet
364,65000,3387.279,10.857,diabetes
365,750,4113.07,-1.815,prediabet
366,20000,3966.977,-1.489,prediabet
367,80000,3839.36,23.051,prediabet
368,8500,4505.651,1.697,Sehat
369,4500,3894.429,-2.955,prediabet
370,35000,4431.133,7.677,Sehat
371,900,3421.087,-8.326,diabetes
372,95000,4243.419,33.776,Sehat
373,2000,3703.986,-9.444,diabetes
374,100000,3777.631,33.274,prediabet
375,6000,4047.319,-2.36,prediabet
376,8500,4504.807,1.716,Sehat
377,100,4827.313,18.212,prediabet
378,7500,4509.03,1.496,Sehat
379,30000,4443.189,5.986,Sehat
380,300,3790.703,-2.495,diabetes
381,300,3911.203,-2.234,diabetes
382,450,5040.384,7.223,Sehat
383,6000,4143.239,-2.616,prediabet
384,60000,3544.461,7.56,diabetes
385,80000,3493.359,18.371,diabetes
386,800,4802.502,4.097,Sehat
387,45000,3828.584,7.452,prediabet
388,35000,3772.679,-0.973,diabetes
389,50000,4386.932,13.729,Sehat
390,8500,3796.08,-8.135,diabetes
391,100,4303.88,12.271,diabetes
392,8500,3405.458,-10.344,diabetes
393,100000,3351.961,25.132,diabetes
394,950,4061.374,-2.274,prediabet
395,6000,4520.027,1.461,Sehat
396,150,4248.54,6.648,diabetes
397,550,4948.669,5.979,Sehat
398,950,3917.851,-3.24,prediabet
399,100,4494.689,13.917,diabetes
400,6000,3610.152,-8.071,diabetes
401,40000,3822.133,5.513,prediabet
402,1500,4064.8,-3.06,prediabet
